asset_role,source_url,recommended_use,notes
Official white logo,https://www.crownmovers.ca/wp-content/uploads/2022/07/Crown-Movers-Logo-4-White.webp,Dark header and footer,Supplied in upload pack
Family moving photo,https://www.crownmovers.ca/wp-content/uploads/2022/07/crown-movers-montreal-family-movers.webp,Customer-care or residential section,Real branded mover and protected furniture
Experienced movers,https://www.crownmovers.ca/wp-content/uploads/2022/07/crown-experienced-movers.webp,Experience or process section,Confirm resolution before production
No hidden fees,https://www.crownmovers.ca/wp-content/uploads/2022/07/crown-movers-no-hidden-fees.webp,Transparent-pricing section,Use only if photo quality is sufficient
Packing and organizing,https://www.crownmovers.ca/wp-content/uploads/2022/07/Packing-And-Organizing.webp,Packing service card or page,Real service imagery preferred
Furniture assembly,https://www.crownmovers.ca/wp-content/uploads/2022/07/Furniture-Disassembly-Assembly.webp,Assembly service card or page,Crop consistently with service-image system
Furniture movers,https://www.crownmovers.ca/wp-content/uploads/2022/07/furniture-movers.webp,Furniture-protection section,Useful for care and protection messaging
Unpacking and cleaning,https://www.crownmovers.ca/wp-content/uploads/2022/07/unpacking-cleaning.webp,Post-move support section,Confirm this service is still offered before publishing
Storage,https://www.crownmovers.ca/wp-content/uploads/2022/07/storage.webp,Storage-related move section,Verify current storage relationship and claims
Free quote trucks wide,https://www.crownmovers.ca/wp-content/uploads/2026/06/crown-free-quote-wide-trucks.webp,Quote-page hero or wide banner,Recent branded-truck photo
Free quote trucks portrait,https://www.crownmovers.ca/wp-content/uploads/2026/06/crown-free-quote-long-trucks.webp,Mobile quote-page image,Recent branded-truck photo
About-page company photo,https://www.crownmovers.ca/wp-content/uploads/2021/05/crown-movers-montreal-01-e1623819655217.jpg,Company story or history section,Older image; verify quality and current relevance
Colour logo,https://www.crownmovers.ca/wp-content/uploads/2021/05/Color20logo20-20no20background_edited-1.png,Light-background logo reference,Obtain official SVG or high-resolution transparent original if possible
